year,fips,pop2020,pop2024,state,stateCode,growthSince2020,name,county,slug,landArea,density,rank,densityMi,areaMi,white%,AdjacentCounties,AdjacentCodes
2024,17001,65614,64326,Illinois,IL,-0.019629957,Adams County,Adams County,illinois/adams-county,855,75.23508771929825,23,75.23508771929825,855,91.46,"""Adams County, IL"" 17001 ""Brown County, IL"" 17009 ""Hancock County, IL"" 17067 ""Pike County, IL"" 17149 ""Schuyler County, IL"" 17169 ""Lewis County, MO"" 29111 ""Marion County, MO"" 29127","17001, 17009, 17067, 17149, 17169, 29111, 29127"
2024,17003,5169,4549,Illinois,IL,-0.119945831,Alexander County,Alexander County,illinois/alexander-county,235,19.35744680851064,98,19.35744680851064,235,63.49,"""Alexander County, IL"" 17003 ""Pulaski County, IL"" 17153 ""Union County, IL"" 17181 ""Ballard County, KY"" 21007 ""Cape Girardeau County, MO"" 29031 ""Mississippi County, MO"" 29133 ""Scott County, MO"" 29201","17003, 17153, 17181, 21007, 29031, 29133, 29201"
2024,17005,16684,16364,Illinois,IL,-0.019180053,Bond County,Bond County,illinois/bond-county,380,43.06315789473684,63,43.06315789473684,380,88.7,"""Bond County, IL"" 17005 ""Clinton County, IL"" 17027 ""Fayette County, IL"" 17051 ""Madison County, IL"" 17119 ""Montgomery County, IL"" 17135","17005, 17027, 17051, 17119, 17135"
2024,17007,53343,53336,Illinois,IL,-0.000131226,Boone County,Boone County,illinois/boone-county,281,189.80782918149467,26,189.80782918149467,281,79.35,"""Boone County, IL"" 17007 ""DeKalb County, IL"" 17037 ""McHenry County, IL"" 17111 ""Ogle County, IL"" 17141 ""Winnebago County, IL"" 17201 ""Rock County, WI"" 55105 ""Walworth County, WI"" 55127","17007, 17037, 17111, 17141, 17201, 55105, 55127"
2024,17009,6227,6272,Illinois,IL,0.007226594,Brown County,Brown County,illinois/brown-county,306,20.49673202614379,91,20.49673202614379,306,78.24,"""Adams County, IL"" 17001 ""Brown County, IL"" 17009 ""Cass County, IL"" 17017 ""Morgan County, IL"" 17137 ""Pike County, IL"" 17149 ""Schuyler County, IL"" 17169","17001, 17009, 17017, 17137, 17149, 17169"
2024,17011,33191,32631,Illinois,IL,-0.016872044,Bureau County,Bureau County,illinois/bureau-county,869,37.55005753739931,44,37.55005753739931,869,90.4,"""Bureau County, IL"" 17011 ""Henry County, IL"" 17073 ""LaSalle County, IL"" 17099 ""Lee County, IL"" 17103 ""Marshall County, IL"" 17123 ""Putnam County, IL"" 17155 ""Stark County, IL"" 17175 ""Whiteside County, IL"" 17195","17011, 17073, 17099, 17103, 17123, 17155, 17175, 17195"
2024,17013,4407,4281,Illinois,IL,-0.028590878,Calhoun County,Calhoun County,illinois/calhoun-county,254,16.85433070866142,100,16.85433070866142,254,95.15,"""Calhoun County, IL"" 17013 ""Greene County, IL"" 17061 ""Jersey County, IL"" 17083 ""Pike County, IL"" 17149 ""Lincoln County, MO"" 29113 ""Pike County, MO"" 29163 ""St. Charles County, MO"" 29183","17013, 17061, 17083, 17149, 29113, 29163, 29183"
2024,17015,15672,15473,Illinois,IL,-0.012697805,Carroll County,Carroll County,illinois/carroll-county,445,34.77078651685393,67,34.77078651685393,445,91.46,"""Carroll County, IL"" 17015 ""Jo Daviess County, IL"" 17085 ""Ogle County, IL"" 17141 ""Stephenson County, IL"" 17177 ""Whiteside County, IL"" 17195 ""Clinton County, IA"" 19045 ""Jackson County, IA"" 19097","17015, 17085, 17141, 17177, 17195, 19045, 19097"
2024,17017,12991,12554,Illinois,IL,-0.033638673,Cass County,Cass County,illinois/cass-county,376,33.388297872340424,81,33.388297872340424,376,82.16,"""Brown County, IL"" 17009 ""Cass County, IL"" 17017 ""Mason County, IL"" 17125 ""Menard County, IL"" 17129 ""Morgan County, IL"" 17137 ""Sangamon County, IL"" 17167 ""Schuyler County, IL"" 17169","17009, 17017, 17125, 17129, 17137, 17167, 17169"
2024,17019,205654,205119,Illinois,IL,-0.002601457,Champaign County,Champaign County,illinois/champaign-county,996,205.94277108433727,10,205.94277108433727,996,68.34,"""Champaign County, IL"" 17019 ""Douglas County, IL"" 17041 ""Edgar County, IL"" 17045 ""Ford County, IL"" 17053 ""McLean County, IL"" 17113 ""Piatt County, IL"" 17147 ""Vermilion County, IL"" 17183","17019, 17041, 17045, 17053, 17113, 17147, 17183"
