,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
1,Cook,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,5225367
58,DuPage,DuPage,DuPage County,17043,IL,Illinois,41.852,-88.0856,930559
91,Lake,Lake,Lake County,17097,IL,Illinois,42.3233,-88.0037,713159
95,Will,Will,Will County,17197,IL,Illinois,41.445,-87.9786,696774
139,Kane,Kane,Kane County,17089,IL,Illinois,41.9388,-88.4286,517254
231,McHenry,McHenry,McHenry County,17111,IL,Illinois,42.3244,-88.4523,311133
247,Winnebago,Winnebago,Winnebago County,17201,IL,Illinois,42.3363,-89.1609,284591
267,Madison,Madison,Madison County,17119,IL,Illinois,38.8297,-89.9049,265512
274,St. Clair,St. Clair,St. Clair County,17163,IL,Illinois,38.4703,-89.9284,256791
332,Champaign,Champaign,Champaign County,17019,IL,Illinois,40.1401,-88.1992,206525
348,Sangamon,Sangamon,Sangamon County,17167,IL,Illinois,39.7582,-89.6589,196122
371,Peoria,Peoria,Peoria County,17143,IL,Illinois,40.788,-89.7601,181186
388,McLean,McLean,McLean County,17113,IL,Illinois,40.4909,-88.8473,171284
459,Rock Island,Rock Island,Rock Island County,17161,IL,Illinois,41.4673,-90.5674,143819
487,Kendall,Kendall,Kendall County,17093,IL,Illinois,41.5906,-88.4288,132795
490,Tazewell,Tazewell,Tazewell County,17179,IL,Illinois,40.5075,-89.5135,131276
559,LaSalle,LaSalle,LaSalle County,17099,IL,Illinois,41.344,-88.8859,109495
570,Kankakee,Kankakee,Kankakee County,17091,IL,Illinois,41.1377,-87.8618,107421
589,Macon,Macon,Macon County,17115,IL,Illinois,39.86,-88.9616,103542
602,DeKalb,DeKalb,DeKalb County,17037,IL,Illinois,41.8935,-88.7703,100686
746,Vermilion,Vermilion,Vermilion County,17183,IL,Illinois,40.1834,-87.7328,74113
799,Williamson,Williamson,Williamson County,17199,IL,Illinois,37.7303,-88.9299,67120
820,Adams,Adams,Adams County,17001,IL,Illinois,39.9879,-91.1885,65583
925,Whiteside,Whiteside,Whiteside County,17195,IL,Illinois,41.7562,-89.9141,55569
945,Boone,Boone,Boone County,17007,IL,Illinois,42.3231,-88.8234,53459
950,Jackson,Jackson,Jackson County,17077,IL,Illinois,37.7851,-89.3821,53176
958,Grundy,Grundy,Grundy County,17063,IL,Illinois,41.2851,-88.4185,52624
972,Ogle,Ogle,Ogle County,17141,IL,Illinois,42.0426,-89.3207,51672
998,Knox,Knox,Knox County,17095,IL,Illinois,40.9318,-90.2132,49751
1006,Henry,Henry,Henry County,17073,IL,Illinois,41.3531,-90.1314,49157
1036,Coles,Coles,Coles County,17029,IL,Illinois,39.5203,-88.2218,47076
1076,Macoupin,Macoupin,Macoupin County,17117,IL,Illinois,39.261,-89.9245,44907
1088,Stephenson,Stephenson,Stephenson County,17177,IL,Illinois,42.3518,-89.6623,44482
1213,Woodford,Woodford,Woodford County,17203,IL,Illinois,40.7883,-89.2113,38414
1229,Franklin,Franklin,Franklin County,17055,IL,Illinois,37.9923,-88.9242,37810
1234,Marion,Marion,Marion County,17121,IL,Illinois,38.6496,-88.919,37543
1250,Jefferson,Jefferson,Jefferson County,17081,IL,Illinois,38.3005,-88.924,37043
1252,Clinton,Clinton,Clinton County,17027,IL,Illinois,38.6065,-89.4225,36998
