County,District
Adams County,6
Alexander County,3
Bond County,14
Boone County,15
Brown County,1
Bureau County,11
Calhoun County,3
Carroll County,11
Cass County,1
Champaign County,8
Christian County,1
Clark County,5
Clay County,15
Clinton County,6
Coles County,5
Cook County,7
Crawford County,5
Cumberland County,10
De Witt County,14
DeKalb County,11
Douglas County,1
DuPage County,12
Edgar County,14
Edwards County,16
Effingham County,6
Fayette County,4
Ford County,5
Franklin County,1
Fulton County,1
Gallatin County,6
Greene County,8
Grundy County,3
Hamilton County,6
Hancock County,8
Hardin County,8
Henderson County,5
Henry County,1
Iroquois County,16
Jackson County,4
Jasper County,17
Jefferson County,13
Jersey County,13
Jo Daviess County,14
Johnson County,5
Kane County,15
Kankakee County,14
Kendall County,6
Knox County,11
Lake County,9
LaSalle County,5
Lawrence County,3
Lee County,8
Livingston County,2
Logan County,3
Macon County,8
Macoupin County,8
Madison County,3
Marion County,1
Marshall County,14
Mason County,1
Massac County,9
McDonough County,8
McHenry County,5
McLean County,8
Menard County,1
Mercer County,11
Monroe County,6
Montgomery County,5
Morgan County,6
Moultrie County,14
Ogle County,1
Peoria County,13
Perry County,8
Piatt County,11
Pike County,14
Pope County,5
Pulaski County,13
Putnam County,5
Randolph County,15
Richland County,3
Rock Island County,1
Saline County,1
Sangamon County,14
Schuyler County,8
Scott County,1
Shelby County,5
St. Clair County,3
Stark County,1
Stephenson County,6
Tazewell County,5
Union County,1
Vermilion County,4
Wabash County,1
Warren County,11
Washington County,5
Wayne County,4
White County,10
Whiteside County,11
Will County,16
Williamson County,3
Winnebago County,14
Woodford County,15
